file,title,u,uavatar,ugroup,a,rid,adv
11827/d000a7c8203d3922f6d69a3f96d4fdef_1.mp3,My heart will go on,n1angel4u,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2624663_38.gif,9,Celine Dion,342187,true
0,0,0,0,0,0,0,0
11827/8cdcce5e9807c1ad6d6c11a014c7c5a4_1.mp3,My heart will go on,Jewel_Emi,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic325125_3.gif,9,Celine Dion,11038,true
11827/63735e1c969fd219c4b0d30b5ce592aa_1.mp3,My heart will go on,Ticha,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic312433_1.gif,2,Celine Dion,430226,true
11827/2f69f038e15f5fb8d1e39a91fbd9db5f_1.mp3,My heart will go on,n1angel4u,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2624663_38.gif,9,Celine Dion,342684,true
11827/5def90761a3f336abb408e38fd5d4880_1.mp3,My heart will go on,whitesider,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic298192_7.gif,2,Celine Dion,554847,true
11827/63b48cbd846a8f93c7e8887a38716245_1.mp4,My heart will go on,bhabycunanan,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10845295_1.gif,2,Celine Dion,1105848,true
11827/0ddb0460d6e687f02fbc506d809fa0a7_1.mp3,My heart will go on,javiernr1024,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic142028_1.gif,2,Celine Dion,589132,true
11827/6336dc06727f67e742adb44f7c4edcca_1.mp3,My heart will go on,Zai_Ara,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic5519_165.gif,9,Celine Dion,1238679,true
11827/36dc94df5e6cb5123798001b341b07de_1.mp4,My heart will go on,estrelladelsur48,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic3696391_56.gif,9,Celine Dion,2304905,true
11827/81352dfcf78542cd24af7d8250c73a5a_1.mp4,My heart will go on,yasumiyo,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1188879_14.gif,9,Celine Dion,297890,true
11827/fd9fe783cdb254988cbcd655b39c9647_1.mp3,My heart will go on,Feyth,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic382499_1.gif,2,Celine Dion,61267,true
0,0,0,0,0,0,0,0
11827/286d52526147e2f3df99e9c612298602_1.mp3,My heart will go on,Bea18,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic320564_4.gif,2,Celine Dion,624790,true
11827/cc3a10d9e61120e35771413fc05b5209_1.mp4,My heart will go on,Gracellen,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic491666_2.gif,2,Celine Dion,56971,true
11827/970e59f114ebdbccca213a39aaec47cd_1.mp3,My heart will go on,n1angel4u,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2624663_38.gif,9,Celine Dion,342009,true
11827/05d2bc50fa9e0ea8a4759bfc0c1be19a_1.mp3,My heart will go on,Arena55,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic221303_3.gif,2,Celine Dion,648309,true
11827/27316c7ada6d21c0986a88d5eee10733_1.mp4,My heart will go on,guadalupesalinas,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic11296150_1.gif,2,Celine Dion,1159769,true
11827/9fe9ac9350ded7caa9e66f38fdb4187d_1.mp4,My heart will go on,fruitynao,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1160677_12.gif,2,Celine Dion,565862,true
11827/34fd64bd49ea989deb89a08b0989d4d7_1.mp3,My heart will go on,adr1ana,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic45590_75.gif,2,Celine Dion,448053,true
11827/5e998bf3eb925b12d70277c972fc030d_1.mp3,My heart will go on,mimilove,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic245968_5.gif,2,Celine Dion,605567,true
11827/cf8281d22d136c250038c34d424da24a_1.mp3,My heart will go on,tinarosy,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic323076_15.gif,2,Celine Dion,722120,true
11827/224edd0c900d6e275c70e7724069451c_1.mp3,My heart will go on,marisabel59,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic470827_17.gif,2,Celine Dion,676158,true
11827/205865feeaa7a1dbdf69e1178608a570_1.mp3,My heart will go on,n1angel4u,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2624663_38.gif,9,Celine Dion,342153,true
11827/90a74d8956f1d13ea8f9d54557d9f0f1_1.mp3,My heart will go on,BERNITA,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic878847_1.gif,2,Celine Dion,1305787,true
11827/4f9784e869afbc597abfba239c9ad122_1.mp3,My heart will go on,Kyra27,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic377959_3.gif,2,Celine Dion,58245,true
11827/a11e07936ec0d692fe37ca775896a757_1.mp3,My heart will go on,CallieFord,https://d4rgvppl55fks.cloudfront.net/es/img3/mujerpequena.jpg,2,Celine Dion,65921,true
11827/0603557c994bdd8b94685a54584cf7b8_1.mp3,My heart will go on,ISABEL961,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic303921_14.gif,2,Celine Dion,589633,true
11827/50368f63f9773b104232f40a993471a1_1.mp3,My heart will go on,tinarosy,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic323076_15.gif,2,Celine Dion,522331,true
11827/e1c77f2a425c43746a0a8f0336214119_1.mp3,My heart will go on,Musiclover,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic15963_5.gif,2,Celine Dion,533114,true
11827/2ea24cee588c4b0d7b30b0e1d6b364c6_1.mp3,My heart will go on,Karen_Jara,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic235230_12.gif,2,Celine Dion,76253,true
11827/639394b9606d470e23632a5cdbe65144_1.mp3,My heart will go on,chris_hg,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic102248_10.gif,2,Celine Dion,698416,true
